index,birga_x,valin_x,valout_x,direction_x,rates_x,volume_x,Com_x,birga_y,valin_y,valout_y,direction_y,rates_y,volume_y,Com_y,Bal1,Bal2,volume,Vol1,Vol2,Vol3,Vol4,profit,percent
10,alfa,USD,PZM,buy,0.0201,55290.73077994,0.2,live,PZM,USD,sell,0.0195,200.0,0.18,40885.20186268657,3412.91078305,200.0,4.02,200.0,199.6,3.88519404,-0.13480595999999956,-3.353382089552228
11,alfa,USD,PZM,buy,0.0201,55290.73077994,0.2,live,PZM,USD,sell,0.01921,300.7781740000001,0.18,40885.20186268657,3412.91078305,300.778174,6.0456412974000004,300.778174,300.176617652,5.756013318,-0.2896279794000005,-4.790690766330422
12,alfa,USD,PZM,buy,0.0201,55290.73077994,0.2,live,PZM,USD,sell,0.019,505.73219865,0.18,40885.20186268657,3412.91078305,505.73219865,10.1652171929,505.73219865,504.72073425269997,9.5724325017,-0.5927846912000003,-5.831500497736899
13,alfa,USD,PZM,buy,0.0201,55290.73077994,0.2,live,PZM,USD,sell,0.0188,517.99586549,0.18,40885.20186268657,3412.91078305,517.99586549,10.4117168963,517.99586549,516.9598737590001,9.7013517045,-0.7103651917999994,-6.822747860657266
14,alfa,USD,PZM,buy,0.0202,74396.24062088999,0.2,alfa,PZM,USD,sell,0.0197,67826.64946802,0.2,40682.79987326733,13015.23511546,13015.23511546,262.9077493323,13015.23511546,12989.2046452291,255.375556848,-7.532192484299998,-2.8649564356430393
15,alfa,USD,PZM,buy,0.0202,74396.24062088999,0.2,alfa,PZM,USD,sell,0.0196,76296.03717617999,0.2,40682.79987326733,13015.23511546,13015.23511546,262.9077493323,13015.23511546,12989.2046452291,254.07923422439998,-8.828515107900017,-3.358027722774079
16,alfa,USD,PZM,buy,0.0202,74396.24062088999,0.2,live,PZM,USD,sell,0.01951,100.0,0.18,40682.79987326733,3412.91078305,100.0,2.02,100.0,99.8,1.9435932236000002,-0.07640677639999982,-3.782513683168308
17,alfa,USD,PZM,buy,0.0202,74396.24062088999,0.2,live,PZM,USD,sell,0.0195,200.0,0.18,40682.79987326733,3412.91078305,200.0,4.04,200.0,199.6,3.88519404,-0.15480596000000002,-3.8318306930693073
18,alfa,USD,PZM,buy,0.0202,74396.24062088999,0.2,live,PZM,USD,sell,0.01921,300.7781740000001,0.18,40682.79987326733,3412.91078305,300.778174,6.0757191148,300.778174,300.176617652,5.756013318,-0.3197057968000001,-5.2620239803584825
19,alfa,USD,PZM,buy,0.0202,74396.24062088999,0.2,live,PZM,USD,sell,0.019,505.73219865,0.18,40682.79987326733,3412.91078305,505.73219865,10.2157904127,505.73219865,504.72073425269997,9.5724325017,-0.6433579110000007,-6.297681187744368
20,alfa,USD,PZM,buy,0.0202,74396.24062088999,0.2,live,PZM,USD,sell,0.0188,517.99586549,0.18,40682.79987326733,3412.91078305,517.99586549,10.4635164829,517.99586549,516.9598737590001,9.7013517045,-0.762164778399999,-7.2840213865536185
21,hot,USDT,PZM,buy,0.0199999,500.0,0.06,hot,PZM,USDT,sell,0.01962658,2050.3,0.06,51950.71561267046,19469.8532381,500.0,10.00594997,500.0,500.0,9.807402026,-0.19854794399999953,-1.9842987881739282
22,hot,USDT,PZM,buy,0.0199999,500.0,0.06,hot,PZM,USDT,sell,0.0196265,2308.350000000001,0.06,51950.71561267046,19469.8532381,500.0,10.00594997,500.0,500.0,9.80736205,-0.19858791999999958,-1.9846983104593676
23,hot,USDT,PZM,buy,0.0199999,500.0,0.06,hot,PZM,USDT,sell,0.01955054,2308.4600000000005,0.06,51950.71561267046,19469.8532381,500.0,10.00594997,500.0,500.0,9.769404838,-0.23654513199999982,-2.364044720483445
24,hot,USDT,PZM,buy,0.0199999,500.0,0.06,hot,PZM,USDT,sell,0.01955,3762.590000000001,0.06,51950.71561267046,19469.8532381,500.0,10.00594997,500.0,500.0,9.769135,-0.2368149699999993,-2.366741495910151
25,hot,USDT,PZM,buy,0.0199999,500.0,0.06,hot,PZM,USDT,sell,0.0195,3962.590000000001,0.06,51950.71561267046,19469.8532381,500.0,10.00594997,500.0,500.0,9.74415,-0.2617999700000002,-2.616442924309367
26,hot,USDT,PZM,buy,0.01999998,1766.49,0.06,hot,PZM,USDT,sell,0.01962658,2050.3,0.06,51950.5078096002,19469.8532381,1766.49,35.350962529,1766.49,1766.49,34.6493552098,-0.7016073192000007,-1.9846908514144144
27,hot,USDT,PZM,buy,0.01999998,1766.49,0.06,hot,PZM,USDT,sell,0.0196265,2308.350000000001,0.06,51950.5078096002,19469.8532381,1766.49,35.350962529,1766.49,1766.49,34.6492139754,-0.7017485535999981,-1.985090372077767
28,hot,USDT,PZM,buy,0.01999998,1766.49,0.06,hot,PZM,USDT,sell,0.01955054,2308.4600000000005,0.06,51950.5078096002,19469.8532381,1766.49,35.350962529,1766.49,1766.49,34.5151119046,-0.8358506244000026,-2.3644352645683027
29,hot,USDT,PZM,buy,0.01999998,1766.49,0.06,hot,PZM,USDT,sell,0.01955,3762.590000000001,0.06,51950.5078096002,19469.8532381,1766.49,35.350962529,1766.49,1766.49,34.5141585723,-0.8368039567000025,-2.3671320293288596
30,hot,USDT,PZM,buy,0.01999998,1766.49,0.06,hot,PZM,USDT,sell,0.0195,3962.590000000001,0.06,51950.5078096002,19469.8532381,1766.49,35.350962529,1766.49,1766.49,34.425887067,-0.9250754620000023,-2.6168324589213685
31,hot,USDT,PZM,buy,0.01999999,4766.49,0.06,hot,PZM,USDT,sell,0.01962658,2050.3,0.06,51950.48183433332,19469.8532381,2050.3,41.0305830847,2050.3,2050.3,40.2162327478,-0.8143503368999987,-1.9847398590922387
32,hot,USDT,PZM,buy,0.01999999,4766.49,0.06,hot,PZM,USDT,sell,0.0196265,2308.350000000001,0.06,51950.48183433332,19469.8532381,2308.35,46.194677102600004,2308.35,2308.35,45.2776483762,-0.9170287264000052,-1.98513937950741
33,hot,USDT,PZM,buy,0.01999999,4766.49,0.06,hot,PZM,USDT,sell,0.01955054,2308.4600000000005,0.06,51950.48183433332,19469.8532381,2308.46,46.196878421499996,2308.46,2308.46,45.1045605847,-1.0923178367999924,-2.364484082308965
34,hot,USDT,PZM,buy,0.01999999,4766.49,0.06,hot,PZM,USDT,sell,0.01955,3762.590000000001,0.06,51950.48183433332,19469.8532381,3762.59,75.2969134315,3762.59,3762.59,73.5144993193,-1.7824141122000015,-2.3671808457613874
35,hot,USDT,PZM,buy,0.01999999,4766.49,0.06,hot,PZM,USDT,sell,0.0195,3962.590000000001,0.06,51950.48183433332,19469.8532381,3962.59,79.2993114303,3962.59,3962.59,77.224142697,-2.0751687332999893,-2.616881150505267
36,hot,USDT,PZM,buy,0.02,8817.65,0.06,hot,PZM,USDT,sell,0.01962658,2050.3,0.06,51950.4558590924,19469.8532381,2050.3,41.0306036,2050.3,2050.3,40.2162327478,-0.8143708521999997,-1.9847888667180118
37,hot,USDT,PZM,buy,0.02,8817.65,0.06,hot,PZM,USDT,sell,0.0196265,2308.350000000001,0.06,51950.4558590924,19469.8532381,2308.35,46.1947002,2308.35,2308.35,45.2776483762,-0.9170518238000014,-1.9851883870435887
