2020/06/16 18:23:31 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:23:31 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:23:31 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:23:31 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:23:57 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:23:57 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:23:57 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:23:57 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:23:57 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:23:59 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:23:59 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:23:59 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:23:59 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:23:59 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:24:10 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:24:10 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:24:10 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:24:10 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:24:10 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:24:23 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:24:23 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:24:23 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:24:23 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:24:23 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:24:37 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:24:37 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:24:37 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:24:37 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:24:37 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:24:47 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:24:47 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:24:47 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:24:47 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:24:47 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:24:51 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:24:51 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:24:51 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:24:51 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:24:51 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:25:07 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:25:07 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:25:07 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:25:07 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:25:07 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:25:22 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:25:22 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:25:22 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:25:22 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:25:22 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:25:34 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:25:34 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:25:34 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:25:34 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:25:34 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:25:36 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:25:36 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:25:36 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:25:36 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:25:36 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:25:50 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:25:50 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:25:50 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:25:50 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:25:50 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:26:04 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:26:04 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:26:04 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:26:04 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:26:04 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:26:20 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:26:20 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:26:20 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:26:20 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:26:20 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:26:20 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:26:20 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:26:20 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:26:20 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:26:20 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:26:33 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:26:33 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:26:33 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:26:33 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:26:33 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:26:48 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:26:48 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:26:48 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:26:48 callbacks,line: 129     INFO | Updating records ...
